iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
1390,0.051999997,0.048,2.6334302,0.05,0.05,2.6334298
1400,0.05,0.05,2.6334271,0.05,0.05,2.633427
1410,0.05,0.05,2.6334229,0.05,0.05,2.6334221
1420,0.05,0.05,2.6334167,0.05,0.05,2.6334162
1430,0.05,0.05,2.6334116,0.05,0.05,2.6334107
1440,0.05,0.051999997,2.6334052,0.05,0.05,2.6334052
1450,0.05,0.05,2.6334054,0.05,0.05,2.6334054
1460,0.05,0.05,2.6334033,0.05,0.05,2.633403
1470,0.05,0.05,2.633401,0.05,0.05,2.6334002
1480,0.05,0.05,2.633401,0.05,0.05,2.6334014
1490,0.05,0.05,2.6334019,0.05,0.05,2.6334014
1500,0.05,0.05,2.6334028,0.052,0.05,2.6334028
1510,0.05,0.05,2.633404,0.05,0.05,2.633404
1520,0.05,0.05,2.6334057,0.05,0.05,2.6334064
1530,0.05,0.05,2.6334076,0.05,0.05,2.6334076
1540,0.05,0.05,2.6334052,0.05,0.05,2.6334047
1550,0.05,0.05,2.6334019,0.05,0.05,2.6334014
1560,0.05,0.05,2.6334,0.05,0.05,2.6333997
1570,0.05,0.05,2.6333976,0.05,0.05,2.6333976
1580,0.05,0.05,2.6333978,0.05,0.05,2.633398
1590,0.05,0.05,2.6333985,0.05,0.05,2.6333985
1600,0.05,0.05,2.633398,0.05,0.05,2.6333985
1610,0.05,0.05,2.633401,0.05,0.05,2.633401
1620,0.05,0.05,2.633403,0.05,0.05,2.6334033
1630,0.052,0.05,2.6334045,0.05,0.05,2.6334045
1640,0.05,0.05,2.6334023,0.05,0.05,2.6334019
1650,0.05,0.05,2.633399,0.05,0.05,2.633399
1660,0.05,0.05,2.633399,0.052,0.052,2.6333992
1670,0.05,0.05,2.6334,0.05,0.05,2.6334
1680,0.05,0.05,2.6333985,0.05,0.05,2.633398
1690,0.05,0.05,2.6333935,0.05,0.05,2.6333926
1700,0.05,0.05,2.633391,0.05,0.05,2.6333911
1710,0.05,0.052,2.6333923,0.05,0.05,2.6333923
1720,0.05,0.05,2.63339,0.05,0.052,2.63339
1730,0.05,0.05,2.633393,0.05,0.05,2.6333933
1740,0.05,0.048,2.6333933,0.05,0.05,2.633393
1750,0.05,0.052,2.6333911,0.05,0.05,2.633391
1760,0.05,0.05,2.6333911,0.05,0.05,2.6333911
1770,0.05,0.05,2.633387,0.05,0.05,2.6333869
1780,0.05,0.05,2.6333857,0.048,0.05,2.6333854
1790,0.05,0.05,2.6333861,0.05,0.05,2.6333869
1800,0.05,0.05,2.6333904,0.05,0.05,2.6333914
1810,0.05,0.05,2.6333942,0.05,0.05,2.6333942
1820,0.05,0.05,2.6333916,0.05,0.05,2.6333916
1830,0.05,0.05,2.6333911,0.05,0.05,2.6333911
1840,0.05,0.05,2.6333892,0.05,0.05,2.6333892
1850,0.05,0.05,2.6333876,0.05,0.05,2.6333866
1860,0.05,0.05,2.6333823,0.05,0.05,2.6333818
1870,0.05,0.05,2.6333814,0.05,0.05,2.6333816
1880,0.05,0.05,2.6333838,0.05,0.05,2.6333838
1890,0.05,0.05,2.633385,0.05,0.05,2.6333847
1900,0.05,0.05,2.6333818,0.05,0.05,2.6333814
1910,0.05,0.05,2.6333828,0.05,0.05,2.6333833
1920,0.05,0.05,2.6333814,0.05,0.051999997,2.6333814
1930,0.05,0.05,2.6333814,0.05,0.05,2.6333816
1940,0.05,0.05,2.6333833,0.05,0.05,2.6333833
1950,0.05,0.048,2.6333818,0.05,0.05,2.6333816
1960,0.05,0.05,2.633376,0.048,0.05,2.6333756
1970,0.05,0.05,2.6333742,0.05,0.05,2.633374
1980,0.05,0.05,2.6333728,0.05,0.05,2.6333725
1990,0.05,0.05,2.6333706,0.05,0.05,2.6333706
2000,0.05,0.05,2.6333704,0.05,0.05,2.6333704
2010,0.05,0.05,2.6333704,0.05,0.05,2.6333706
2020,0.05,0.05,2.6333709,0.05,0.048,2.6333709
2030,0.048,0.05,2.6333716,0.05,0.05,2.6333716
2040,0.05,0.05,2.6333735,0.05,0.05,2.6333735
2050,0.05,0.05,2.6333747,0.05,0.05,2.6333747
2060,0.05,0.05,2.6333764,0.05,0.05,2.6333764
2070,0.05,0.05,2.6333802,0.05,0.05,2.6333804
2080,0.05,0.05,2.6333783,0.05,0.05,2.633378
2090,0.05,0.05,2.6333735,0.05,0.05,2.6333728
2100,0.05,0.05,2.6333737,0.048,0.05,2.6333737
2110,0.05,0.05,2.6333752,0.05,0.05,2.633376
2120,0.05,0.052,2.6333795,0.05,0.05,2.6333802
2130,0.05,0.05,2.6333795,0.05,0.05,2.6333792
2140,0.05,0.05,2.6333792,0.05,0.05,2.6333792
2150,0.05,0.05,2.6333764,0.05,0.05,2.633376
2160,0.05,0.05,2.6333747,0.052,0.05,2.6333747
2170,0.05,0.05,2.6333735,0.05,0.05,2.6333735
2180,0.05,0.05,2.6333718,0.05,0.05,2.6333725
2190,0.05,0.05,2.633377,0.05,0.05,2.6333778
2200,0.048,0.05,2.6333778,0.048,0.05,2.633377
2210,0.05,0.048,2.6333692,0.048,0.05,2.6333692
2220,0.05,0.052,2.6333683,0.05,0.05,2.6333687
2230,0.05,0.05,2.6333685,0.052,0.05,2.6333685
2240,0.05,0.05,2.6333692,0.05,0.05,2.6333694
2250,0.048,0.05,2.6333716,0.048,0.05,2.6333716
2260,0.05,0.05,2.6333685,0.05,0.05,2.6333685
2270,0.05,0.052,2.6333654,0.05,0.05,2.6333659
2280,0.05,0.05,2.6333637,0.05,0.05,2.633363
2290,0.048,0.05,2.6333604,0.048,0.05,2.63336
2300,0.05,0.05,2.6333585,0.05,0.05,2.6333582
2310,0.05,0.05,2.633357,0.05,0.05,2.633357
2320,0.05,0.05,2.6333556,0.05,0.05,2.6333556
2330,0.05,0.05,2.6333551,0.05,0.05,2.6333551
2340,0.05,0.05,2.6333513,0.05,0.05,2.633351
2350,0.05,0.05,2.6333497,0.05,0.05,2.6333497
2360,0.05,0.05,2.6333497,0.05,0.05,2.63335
2370,0.05,0.05,2.6333532,0.05,0.05,2.6333535
2380,0.05,0.05,2.6333544,0.05,0.05,2.6333544
2390,0.05,0.05,2.633356,0.05,0.05,2.6333563
2400,0.05,0.05,2.6333578,0.05,0.05,2.6333578
2410,0.05,0.05,2.6333606,0.05,0.05,2.633361
2420,0.05,0.05,2.6333625,0.05,0.05,2.6333618
2430,0.052,0.05,2.6333597,0.05,0.05,2.6333597
2440,0.052,0.05,2.6333582,0.048,0.05,2.6333578
2450,0.05,0.05,2.6333606,0.05,0.05,2.6333606
2460,0.05,0.05,2.6333604,0.05,0.05,2.63336
2470,0.05,0.05,2.633359,0.05,0.05,2.6333587
2480,0.05,0.05,2.6333551,0.05,0.05,2.6333544
2490,0.05,0.05,2.6333528,0.05,0.05,2.6333518
2500,0.05,0.05,2.633349,0.05,0.05,2.633349
2510,0.05,0.05,2.6333473,0.05,0.05,2.6333473
2520,0.05,0.05,2.6333447,0.05,0.05,2.6333442
2530,0.05,0.05,2.6333423,0.05,0.05,2.6333413
2540,0.05,0.05,2.633336,0.05,0.05,2.6333356
2550,0.05,0.05,2.6333325,0.05,0.05,2.6333325
2560,0.05,0.05,2.6333294,0.05,0.05,2.6333284
2570,0.05,0.05,2.6333225,0.05,0.05,2.6333218
2580,0.05,0.05,2.633319,0.05,0.05,2.6333184
2590,0.05,0.05,2.6333168,0.052,0.05,2.6333168
2600,0.05,0.05,2.6333158,0.05,0.05,2.6333153
2610,0.05,0.05,2.6333115,0.05,0.05,2.6333108
2620,0.05,0.05,2.6333082,0.05,0.05,2.6333082
2630,0.05,0.05,2.6333115,0.05,0.05,2.6333117
2640,0.05,0.05,2.6333137,0.05,0.05,2.633314
2650,0.05,0.05,2.633316,0.05,0.05,2.633316
2660,0.05,0.05,2.6333148,0.05,0.05,2.6333146
2670,0.05,0.05,2.6333146,0.05,0.05,2.6333141
2680,0.05,0.05,2.6333141,0.05,0.05,2.6333141
2690,0.05,0.05,2.6333141,0.05,0.05,2.633314
2700,0.05,0.05,2.633313,0.05,0.05,2.633313
2710,0.05,0.05,2.6333117,0.05,0.05,2.6333117
2720,0.05,0.05,2.6333148,0.05,0.05,2.633315
2730,0.05,0.05,2.6333168,0.05,0.05,2.633317
2740,0.05,0.05,2.633319,0.05,0.05,2.633319
2750,0.05,0.05,2.6333191,0.05,0.05,2.6333194
2760,0.05,0.05,2.633319,0.05,0.05,2.633319
2770,0.05,0.05,2.6333184,0.05,0.05,2.6333184
2780,0.05,0.05,2.633318,0.05,0.05,2.633318
2790,0.05,0.05,2.633318,0.05,0.05,2.633318
2800,0.05,0.05,2.6333184,0.05,0.05,2.633318
2810,0.05,0.05,2.633315,0.05,0.05,2.6333148
2820,0.05,0.05,2.6333137,0.05,0.05,2.6333137
2830,0.05,0.05,2.6333132,0.05,0.05,2.633313
2840,0.05,0.05,2.6333125,0.05,0.05,2.6333125
2850,0.05,0.05,2.6333141,0.05,0.05,2.6333146
2860,0.05,0.05,2.6333153,0.05,0.05,2.6333153
2870,0.05,0.05,2.633313,0.05,0.05,2.6333125
2880,0.05,0.05,2.6333094,0.05,0.05,2.6333091
2890,0.05,0.05,2.6333082,0.05,0.05,2.6333077
2900,0.05,0.05,2.6333075,0.05,0.05,2.6333075
2910,0.05,0.05,2.6333077,0.052,0.05,2.6333082
2920,0.05,0.05,2.6333084,0.05,0.05,2.6333084
2930,0.05,0.05,2.6333086,0.05,0.05,2.6333086
2940,0.05,0.05,2.6333086,0.05,0.05,2.6333086
2950,0.05,0.05,2.6333098,0.05,0.05,2.6333096
2960,0.05,0.048,2.6333094,0.05,0.05,2.6333094
2970,0.05,0.05,2.6333094,0.05,0.05,2.6333094
2980,0.05,0.05,2.6333096,0.05,0.05,2.6333096
2990,0.05,0.05,2.6333098,0.05,0.05,2.6333098
