iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_en_params_dist,task_test_tail_params_dist
1150,0.27600002,0.66400003,nan,0.50148404,0.09200001,0.564,nan,0.5632756
1160,0.256,0.624,nan,0.5088411,0.084,0.532,nan,0.5687153
1170,0.33600003,0.66400003,nan,0.5106601,0.104,0.52799994,nan,0.49264568
1180,0.276,0.63199997,nan,0.5112802,0.13200001,0.508,nan,0.513158
1190,0.284,0.704,nan,0.5034736,0.09200001,0.53199995,nan,0.5419453
1200,0.23599999,0.66800004,nan,0.5330221,0.14800002,0.576,nan,0.52236074
1210,0.252,0.6240001,nan,0.52006066,0.128,0.54800004,nan,0.5294631
1220,0.272,0.688,nan,0.5207122,0.128,0.54,nan,0.5942703
1230,0.308,0.708,nan,0.46920633,0.092,0.53200006,nan,0.5753561
1240,0.316,0.692,nan,0.5075957,0.08400001,0.54399997,nan,0.6199718
1250,0.312,0.744,nan,0.5069294,0.103999995,0.54,nan,0.5204039
1260,0.29600003,0.704,nan,0.54607695,0.13200001,0.556,nan,0.5872748
1270,0.296,0.704,nan,0.54806226,0.108,0.588,nan,0.5863621
1280,0.292,0.7,nan,0.5062416,0.111999996,0.544,nan,0.6155337
1290,0.28,0.7,nan,0.56286424,0.076000005,0.556,nan,0.5702809
1300,0.292,0.7,nan,0.54023653,0.111999996,0.54399997,nan,0.5665425
1310,0.3,0.672,nan,0.5698284,0.116000004,0.552,nan,0.5279254
1320,0.28,0.66800004,nan,0.543788,0.08,0.57199997,nan,0.55171615
1330,0.30400002,0.764,nan,0.57685995,0.12,0.58,nan,0.5526695
1340,0.304,0.72,nan,0.5307909,0.1,0.572,nan,0.62374437
1350,0.288,0.72400004,nan,0.54347944,0.088,0.556,nan,0.56483144
1360,0.296,0.7160001,nan,0.52618605,0.11200001,0.612,nan,0.5462223
1370,0.304,0.74,nan,0.5459197,0.108,0.54,nan,0.51241386
1380,0.26,0.66800004,nan,0.5191722,0.068,0.54,nan,0.57267773
1390,0.29600003,0.768,nan,0.5906482,0.108,0.56000006,nan,0.5480951
1400,0.22,0.73600006,nan,0.5294531,0.11200001,0.588,nan,0.5765299
1410,0.268,0.732,nan,0.580249,0.103999995,0.58,nan,0.59934014
1420,0.352,0.752,nan,0.58869493,0.088,0.60800004,nan,0.69806117
1430,0.32799998,0.72400004,nan,0.5570782,0.148,0.564,nan,0.62069494
1440,0.252,0.756,nan,0.55991685,0.1,0.628,nan,0.54304016
1450,0.312,0.748,nan,0.61839426,0.13200001,0.628,nan,0.5816304
1460,0.26400003,0.74399996,nan,0.5720671,0.076000005,0.624,nan,0.59833497
1470,0.32,0.756,nan,0.5634013,0.116000004,0.584,nan,0.6102465
1480,0.304,0.78,nan,0.5313246,0.076000005,0.616,nan,0.5849105
1490,0.324,0.71199995,nan,0.5745004,0.084,0.568,nan,0.6322547
1500,0.3,0.76,nan,0.595857,0.08,0.65599996,nan,0.6523787
1510,0.28,0.756,nan,0.5365555,0.107999995,0.612,nan,0.6413994
1520,0.32800004,0.764,nan,0.61827785,0.108,0.62,nan,0.65273595
1530,0.21200001,0.76,nan,0.54964006,0.116000004,0.66,nan,0.63219714
1540,0.26,0.7839999,nan,0.58006793,0.08000001,0.60400003,nan,0.6186434
1550,0.292,0.768,nan,0.5802397,0.14,0.588,nan,0.60592735
1560,0.26400003,0.752,nan,0.58315724,0.116000004,0.604,nan,0.6329155
1570,0.33600003,0.7839999,nan,0.5696756,0.1,0.66400003,nan,0.6779199
1580,0.292,0.71199995,nan,0.5875487,0.076000005,0.63600004,nan,0.5502693
1590,0.26,0.76,nan,0.601931,0.103999995,0.66,nan,0.59612954
1600,0.28800002,0.748,nan,0.616761,0.156,0.65199995,nan,0.60461634
1610,0.312,0.7839999,nan,0.5900332,0.084,0.688,nan,0.66451037
1620,0.252,0.7839999,nan,0.55101806,0.092,0.696,nan,0.6352243
1630,0.28800002,0.732,nan,0.6419714,0.088,0.64,nan,0.655797
1640,0.32,0.812,nan,0.56887037,0.096,0.676,nan,0.6315802
1650,0.296,0.768,nan,0.61112976,0.1,0.65199995,nan,0.6728006
1660,0.29599997,0.75200003,nan,0.58137095,0.116000004,0.66,nan,0.62507147
1670,0.288,0.764,nan,0.62677383,0.108,0.63600004,nan,0.62528354
1680,0.312,0.76,nan,0.612671,0.09200001,0.67600006,nan,0.60444087
1690,0.32,0.768,nan,0.62249917,0.08,0.65599996,nan,0.6896047
1700,0.272,0.8,nan,0.6211082,0.16,0.684,nan,0.649612
1710,0.28,0.824,nan,0.6094996,0.128,0.688,nan,0.6242142
1720,0.27600002,0.77199996,nan,0.6408579,0.12799999,0.66800004,nan,0.62413657
1730,0.33200002,0.80799997,nan,0.64690435,0.104,0.672,nan,0.6597654
1740,0.292,0.756,nan,0.60662234,0.092,0.644,nan,0.63083017
1750,0.24400002,0.808,nan,0.5972621,0.103999995,0.74399996,nan,0.63367337
1760,0.26800004,0.78800005,nan,0.6494001,0.088,0.65599996,nan,0.73017377
1770,0.32,0.76,nan,0.66270065,0.12000001,0.72,nan,0.67761916
1780,0.308,0.8439999,nan,0.6070717,0.15200001,0.7,nan,0.6396469
1790,0.288,0.812,nan,0.64893013,0.09200001,0.72,nan,0.672863
1800,0.292,0.812,nan,0.59282696,0.09200001,0.70399994,nan,0.6526855
1810,0.296,0.83199996,nan,0.57130975,0.11200001,0.748,nan,0.65919757
1820,0.288,0.796,nan,0.64609253,0.096,0.68,nan,0.71647435
1830,0.268,0.83599997,nan,0.66927814,0.111999996,0.684,nan,0.69072074
1840,0.268,0.77599996,nan,0.63420564,0.08,0.704,nan,0.764627
1850,0.256,0.812,nan,0.694477,0.1,0.704,nan,0.6948074
1860,0.264,0.824,nan,0.68658,0.11200001,0.72,nan,0.70086086
1870,0.3,0.832,nan,0.69286716,0.096,0.744,nan,0.7809084
1880,0.27600002,0.78,nan,0.61180484,0.13599999,0.736,nan,0.6688353
1890,0.29600003,0.80799997,nan,0.6299936,0.12,0.66400003,nan,0.6941283
1900,0.23200001,0.86,nan,0.66776365,0.08,0.7,nan,0.6907443
1910,0.272,0.84,nan,0.706705,0.128,0.72,nan,0.72769475
1920,0.3,0.7760001,nan,0.61324584,0.14800002,0.74,nan,0.6360496
1930,0.268,0.804,nan,0.675622,0.1,0.77599996,nan,0.6492278
1940,0.24,0.756,nan,0.6879162,0.108,0.72,nan,0.68550766
1950,0.308,0.77199996,nan,0.6558072,0.096,0.744,nan,0.7107125
1960,0.256,0.82399994,nan,0.6722754,0.111999996,0.72400004,nan,0.6815845
1970,0.33200002,0.852,nan,0.6340834,0.055999998,0.732,nan,0.6660859
1980,0.268,0.828,nan,0.6680586,0.136,0.71199995,nan,0.6923982
1990,0.308,0.828,nan,0.7203634,0.088,0.76399994,nan,0.6675368
2000,0.26000002,0.812,nan,0.6807328,0.084,0.756,nan,0.70347404
2010,0.25199997,0.86,nan,0.66088235,0.13200001,0.756,nan,0.7012747
2020,0.28800002,0.85600007,nan,0.7082683,0.12,0.69600004,nan,0.76570857
2030,0.3,0.808,nan,0.70333815,0.124000005,0.732,nan,0.6419058
2040,0.29599997,0.84400004,nan,0.7293986,0.116000004,0.736,nan,0.7833603
2050,0.268,0.872,nan,0.6314386,0.11200001,0.77199996,nan,0.7206888
2060,0.26,0.83599997,nan,0.68443835,0.156,0.72800004,nan,0.66803735
2070,0.24400002,0.80399996,nan,0.80414593,0.128,0.74,nan,0.78666514
2080,0.288,0.82,nan,0.67499286,0.132,0.77199996,nan,0.7253514
2090,0.23200001,0.8360001,nan,0.67303765,0.111999996,0.80399996,nan,0.69168746
2100,0.276,0.824,nan,0.7592248,0.08,0.72400004,nan,0.76484066
2110,0.28,0.796,nan,0.7097814,0.116000004,0.77599996,nan,0.738561
2120,0.22800002,0.82,nan,0.7014479,0.15200001,0.74,nan,0.7587597
2130,0.264,0.812,nan,0.7145168,0.096,0.72,nan,0.689452
2140,0.308,0.85200006,nan,0.7310013,0.096,0.78400004,nan,0.726535
2150,0.236,0.88399994,nan,0.7598732,0.107999995,0.752,nan,0.7719725
2160,0.192,0.872,nan,0.7138979,0.116000004,0.77199996,nan,0.67708415
2170,0.248,0.86800003,nan,0.71261173,0.16,0.736,nan,0.7154349
2180,0.244,0.86399996,nan,0.73585606,0.111999996,0.744,nan,0.73333746
2190,0.22800002,0.8439999,nan,0.72155535,0.16,0.828,nan,0.71077216
2200,0.268,0.852,nan,0.72079784,0.104,0.83199996,nan,0.68793225
2210,0.284,0.83599997,nan,0.78000367,0.116000004,0.796,nan,0.7787611
2220,0.24800003,0.84800005,nan,0.7410696,0.13599999,0.82799995,nan,0.73404133
2230,0.216,0.84800005,nan,0.79113907,0.128,0.816,nan,0.7439063
2240,0.22,0.83199996,nan,0.7347044,0.08,0.796,nan,0.75383997
2250,0.252,0.88799995,nan,0.74085534,0.108,0.752,nan,0.72357905
2260,0.22799999,0.88399994,nan,0.7198612,0.064,0.83199996,nan,0.77041876
2270,0.22399999,0.83599997,nan,0.79168904,0.09200001,0.77599996,nan,0.78841877
2280,0.21200001,0.884,nan,0.76513827,0.06,0.768,nan,0.77490276
2290,0.21200001,0.86399996,nan,0.8003004,0.116000004,0.77599996,nan,0.8207842
2300,0.24,0.816,nan,0.7538507,0.103999995,0.764,nan,0.7690641
2310,0.21200001,0.86,nan,0.73325455,0.06,0.796,nan,0.70396495
2320,0.24,0.8439999,nan,0.77462006,0.116000004,0.756,nan,0.8121228
